,Timestamp,Open,High,Low,Close,Volume,Open Interest,Heikin Ashi - Open,Heikin Ashi - High,Heikin Ashi - Low,Heikin Ashi - Close,Heikin Ashi - Change
886,2021-01-01 00:00:00+05:30,1996.9,2007.95,1990.7,1994.05,1106099,0,1995.475,2007.95,1990.7,1997.4,1.9500000000000002
885,2021-01-04 00:00:00+05:30,2004.0,2005.95,1955.0,1965.55,3141429,0,1996.4375,2005.95,1955.0,1982.625,-13.8
884,2021-01-05 00:00:00+05:30,1959.5,1964.4,1935.0,1959.75,3263230,0,1989.53125,1989.53125,1935.0,1954.6625,-34.85
883,2021-01-06 00:00:00+05:30,1973.9,1979.0,1948.4,1970.4,3452515,0,1972.096875,1979.0,1948.4,1967.9250000000002,-4.15
882,2021-01-07 00:00:00+05:30,1984.0,1984.0,1947.5,1952.4,3419317,0,1970.0109375000002,1984.0,1947.5,1966.975,-3.0500000000000003
881,2021-01-08 00:00:00+05:30,1972.0,1976.0,1946.25,1970.7,3262897,0,1968.49296875,1976.0,1946.25,1966.2375,-2.25
880,2021-01-11 00:00:00+05:30,1960.0,1966.9,1935.4,1938.15,2995521,0,1967.365234375,1967.365234375,1935.4,1950.1125000000002,-17.25
879,2021-01-12 00:00:00+05:30,1929.8,1930.1,1895.85,1903.45,6035580,0,1958.7388671875,1958.7388671875,1895.85,1914.8,-43.95
878,2021-01-13 00:00:00+05:30,1911.0,1911.0,1877.0,1882.1,5583130,0,1936.76943359375,1936.76943359375,1877.0,1895.275,-41.5
877,2021-01-14 00:00:00+05:30,1892.0,1905.0,1871.05,1892.65,4803638,0,1916.022216796875,1916.022216796875,1871.05,1890.1750000000002,-25.85
876,2021-01-15 00:00:00+05:30,1894.2,1904.0,1854.05,1863.9,2715164,0,1903.0986083984376,1904.0,1854.05,1879.0375,-24.05
875,2021-01-18 00:00:00+05:30,1870.5,1872.25,1838.85,1846.95,5004628,0,1891.0680541992188,1891.0680541992188,1838.85,1857.1375,-33.95
874,2021-01-19 00:00:00+05:30,1856.1,1892.0,1845.25,1887.0,4805514,0,1874.1027770996093,1892.0,1845.25,1870.0875,-4.0
873,2021-01-20 00:00:00+05:30,1890.0,1890.0,1869.45,1883.6,3041448,0,1872.0951385498047,1890.0,1869.45,1883.2624999999998,11.15
